word,num_syllables,syllables,stress_pattern,infixed
TRANSFUSED,2,"['trans', 'fused']","[['trans', '0'], ['fused', '1']]",trans-fuckin-fused
TRANSGRESS,2,"['trans', 'gress']","[['trans', '0'], ['gress', '1']]",trans-fuckin-gress
TRANSLATE,2,"['trans', 'late']","[['trans', '0'], ['late', '1']]",trans-fuckin-late
TRANSMIT,2,"['trans', 'mit']","[['trans', '0'], ['mit', '1']]",trans-fuckin-mit
TRANSPLANT,2,"['trans', 'plant']","[['trans', '0'], ['plant', '1']]",trans-fuckin-plant
TRANSPORT,2,"['trans', 'port']","[['trans', '0'], ['port', '1']]",trans-fuckin-port
TRANSPOSE,2,"['trans', 'pose']","[['trans', '0'], ['pose', '1']]",trans-fuckin-pose
TRANSPOSED,2,"['trans', 'posed']","[['trans', '0'], ['posed', '1']]",trans-fuckin-posed
TRANSVAAL,2,"['Trans', 'vaal']","[['Trans', '0'], ['vaal', '1']]",Trans-fuckin-vaal
TRANSVERSE,2,"['trans', 'verse']","[['trans', '0'], ['verse', '1']]",trans-fuckin-verse
TRAPEZE,2,"['tra', 'peze']","[['tra', '0'], ['peze', '1']]",tra-fuckin-peze
TRAVAIL,2,"['tra', 'vail']","[['tra', '0'], ['vail', '1']]",tra-fuckin-vail
TRIVETTE,2,"['triv', 'ette']","[['triv', '0'], ['ette', '1']]",triv-fuckin-ette
TROMBONE,2,"['trom', 'bone']","[['trom', '0'], ['bone', '1']]",trom-fuckin-bone
TRUFFAUT,2,"['Truf', 'faut']","[['Truf', '0'], ['faut', '1']]",Truf-fuckin-faut
TRUSTEE,2,"['trust', 'ee']","[['trust', '2'], ['ee', '1']]",trust-fuckin-ee
TURBOT,2,"['tur', 'bot']","[['tur', '2'], ['bot', '1']]",tur-fuckin-bot
TWADDELL,2,"['twad', 'dell']","[['twad', '0'], ['dell', '1']]",twad-fuckin-dell
TYCOON,2,"['ty', 'coon']","[['ty', '0'], ['coon', '1']]",ty-fuckin-coon
TYPHOON,2,"['ty', 'phoon']","[['ty', '2'], ['phoon', '1']]",ty-fuckin-phoon
UKRAINE,2,"['U', 'kraine']","[['U', '0'], ['kraine', '1']]",U-fuckin-kraine
UNARM,2,"['un', 'arm']","[['un', '0'], ['arm', '1']]",un-fuckin-arm
UNARMED,2,"['un', 'armed']","[['un', '0'], ['armed', '1']]",un-fuckin-armed
UNBEND,2,"['un', 'bend']","[['un', '2'], ['bend', '1']]",un-fuckin-bend
UNBOUND,2,"['un', 'bound']","[['un', '0'], ['bound', '1']]",un-fuckin-bound
UNBOWED,2,"['un', 'bowed']","[['un', '0'], ['bowed', '1']]",un-fuckin-bowed
UNBUILT,2,"['un', 'built']","[['un', '2'], ['built', '1']]",un-fuckin-built
UNBURNED,2,"['un', 'burned']","[['un', '0'], ['burned', '1']]",un-fuckin-burned
UNCALLED,2,"['un', 'called']","[['un', '0'], ['called', '1']]",un-fuckin-called
UNCHANGED,2,"['un', 'changed']","[['un', '0'], ['changed', '1']]",un-fuckin-changed
UNCHECKED,2,"['un', 'checked']","[['un', '0'], ['checked', '1']]",un-fuckin-checked
UNCLAIMED,2,"['un', 'claimed']","[['un', '0'], ['claimed', '1']]",un-fuckin-claimed
UNCLAMP,2,"['un', 'clamp']","[['un', '0'], ['clamp', '1']]",un-fuckin-clamp
UNCLEAN,2,"['un', 'clean']","[['un', '0'], ['clean', '1']]",un-fuckin-clean
UNCLEAR,2,"['un', 'clear']","[['un', '0'], ['clear', '1']]",un-fuckin-clear
UNCOIL,2,"['un', 'coil']","[['un', '2'], ['coil', '1']]",un-fuckin-coil
UNCOILED,2,"['un', 'coiled']","[['un', '2'], ['coiled', '1']]",un-fuckin-coiled
UNCOOL,2,"['un', 'cool']","[['un', '2'], ['cool', '1']]",un-fuckin-cool
UNCORK,2,"['un', 'cork']","[['un', '0'], ['cork', '1']]",un-fuckin-cork
UNCURED,2,"['un', 'cured']","[['un', '2'], ['cured', '1']]",un-fuckin-cured
UNCUT,2,"['un', 'cut']","[['un', '2'], ['cut', '1']]",un-fuckin-cut
UNDID,2,"['un', 'did']","[['un', '0'], ['did', '1']]",un-fuckin-did
UNDO,2,"['un', 'do']","[['un', '0'], ['do', '1']]",un-fuckin-do
UNDOCK,2,"['un', 'dock']","[['un', '0'], ['dock', '1']]",un-fuckin-dock
UNDONE,2,"['un', 'done']","[['un', '0'], ['done', '1']]",un-fuckin-done
UNDREAMED,2,"['un', 'dreamed']","[['un', '0'], ['dreamed', '1']]",un-fuckin-dreamed
UNDRESS,2,"['un', 'dress']","[['un', '0'], ['dress', '1']]",un-fuckin-dress
UNDRESSED,2,"['un', 'dressed']","[['un', '0'], ['dressed', '1']]",un-fuckin-dressed
UNDUE,2,"['un', 'due']","[['un', '0'], ['due', '1']]",un-fuckin-due
UNEARNED,2,"['un', 'earned']","[['un', '0'], ['earned', '1']]",un-fuckin-earned
UNEARTH,2,"['un', 'earth']","[['un', '0'], ['earth', '1']]",un-fuckin-earth
UNEASE,2,"['un', 'ease']","[['un', '0'], ['ease', '1']]",un-fuckin-ease
UNFAIR,2,"['un', 'fair']","[['un', '0'], ['fair', '1']]",un-fuckin-fair
UNFAZED,2,"['un', 'fazed']","[['un', '0'], ['fazed', '1']]",un-fuckin-fazed
UNFENCED,2,"['un', 'fenced']","[['un', '0'], ['fenced', '1']]",un-fuckin-fenced
UNFILLED,2,"['un', 'filled']","[['un', '0'], ['filled', '1']]",un-fuckin-filled
UNFIT,2,"['un', 'fit']","[['un', '0'], ['fit', '1']]",un-fuckin-fit
UNFOLD,2,"['un', 'fold']","[['un', '0'], ['fold', '1']]",un-fuckin-fold
UNFORMED,2,"['un', 'formed']","[['un', '0'], ['formed', '1']]",un-fuckin-formed
UNFURL,2,"['un', 'furl']","[['un', '0'], ['furl', '1']]",un-fuckin-furl
UNFURLED,2,"['un', 'furled']","[['un', '0'], ['furled', '1']]",un-fuckin-furled
UNGLUE,2,"['un', 'glue']","[['un', '0'], ['glue', '1']]",un-fuckin-glue
UNGLUED,2,"['un', 'glued']","[['un', '0'], ['glued', '1']]",un-fuckin-glued
UNHARMED,2,"['un', 'harmed']","[['un', '0'], ['harmed', '1']]",un-fuckin-harmed
UNHEARD,2,"['un', 'heard']","[['un', '0'], ['heard', '1']]",un-fuckin-heard
UNHEDGED,2,"['un', 'hedged']","[['un', '0'], ['hedged', '1']]",un-fuckin-hedged
UNHINGE,2,"['un', 'hinge']","[['un', '0'], ['hinge', '1']]",un-fuckin-hinge
UNHINGED,2,"['un', 'hinged']","[['un', '0'], ['hinged', '1']]",un-fuckin-hinged
UNHITCH,2,"['un', 'hitch']","[['un', '0'], ['hitch', '1']]",un-fuckin-hitch
UNHOOK,2,"['un', 'hook']","[['un', '0'], ['hook', '1']]",un-fuckin-hook
UNHORSED,2,"['un', 'horsed']","[['un', '0'], ['horsed', '1']]",un-fuckin-horsed
UNHURT,2,"['un', 'hurt']","[['un', '0'], ['hurt', '1']]",un-fuckin-hurt
UNIQUE,2,"['u', 'nique']","[['u', '0'], ['nique', '1']]",u-fuckin-nique
UNJUST,2,"['un', 'just']","[['un', '0'], ['just', '1']]",un-fuckin-just
UNKEMPT,2,"['un', 'kempt']","[['un', '0'], ['kempt', '1']]",un-fuckin-kempt
UNKIND,2,"['un', 'kind']","[['un', '0'], ['kind', '1']]",un-fuckin-kind
UNKNOWN,2,"['un', 'known']","[['un', '0'], ['known', '1']]",un-fuckin-known
UNLEASH,2,"['un', 'leash']","[['un', '0'], ['leash', '1']]",un-fuckin-leash
UNLESS,2,"['un', 'less']","[['un', '0'], ['less', '1']]",un-fuckin-less
UNLIKE,2,"['un', 'like']","[['un', '0'], ['like', '1']]",un-fuckin-like
UNLOAD,2,"['un', 'load']","[['un', '0'], ['load', '1']]",un-fuckin-load
UNLOCK,2,"['un', 'lock']","[['un', '0'], ['lock', '1']]",un-fuckin-lock
UNLOVED,2,"['un', 'loved']","[['un', '0'], ['loved', '1']]",un-fuckin-loved
UNMADE,2,"['un', 'made']","[['un', '0'], ['made', '1']]",un-fuckin-made
UNMANNED,2,"['un', 'manned']","[['un', '0'], ['manned', '1']]",un-fuckin-manned
UNMARKED,2,"['un', 'marked']","[['un', '0'], ['marked', '1']]",un-fuckin-marked
UNMASK,2,"['un', 'mask']","[['un', '0'], ['mask', '1']]",un-fuckin-mask
UNMASKED,2,"['un', 'masked']","[['un', '0'], ['masked', '1']]",un-fuckin-masked
UNMATCHED,2,"['un', 'matched']","[['un', '0'], ['matched', '1']]",un-fuckin-matched
UNMET,2,"['un', 'met']","[['un', '0'], ['met', '1']]",un-fuckin-met
UNMIXED,2,"['un', 'mixed']","[['un', '0'], ['mixed', '1']]",un-fuckin-mixed
UNMOVED,2,"['un', 'moved']","[['un', '0'], ['moved', '1']]",un-fuckin-moved
UNNAMED,2,"['un', 'named']","[['un', '0'], ['named', '1']]",un-fuckin-named
UNNERVE,2,"['un', 'nerve']","[['un', '0'], ['nerve', '1']]",un-fuckin-nerve
UNNERVED,2,"['un', 'nerved']","[['un', '0'], ['nerved', '1']]",un-fuckin-nerved
UNPACK,2,"['un', 'pack']","[['un', '0'], ['pack', '1']]",un-fuckin-pack
UNPAID,2,"['un', 'paid']","[['un', '0'], ['paid', '1']]",un-fuckin-paid
UNPLACED,2,"['un', 'placed']","[['un', '0'], ['placed', '1']]",un-fuckin-placed
UNPLANNED,2,"['un', 'planned']","[['un', '0'], ['planned', '1']]",un-fuckin-planned
UNPLUG,2,"['un', 'plug']","[['un', '0'], ['plug', '1']]",un-fuckin-plug
UNPLUGGED,2,"['un', 'plugged']","[['un', '0'], ['plugged', '1']]",un-fuckin-plugged
UNPROVED,2,"['un', 'proved']","[['un', '0'], ['proved', '1']]",un-fuckin-proved
UNREAD,2,"['un', 'read']","[['un', '0'], ['read', '1']]",un-fuckin-read
UNREST,2,"['un', 'rest']","[['un', '0'], ['rest', '1']]",un-fuckin-rest
UNSAFE,2,"['un', 'safe']","[['un', '0'], ['safe', '1']]",un-fuckin-safe
UNSAID,2,"['un', 'said']","[['un', '0'], ['said', '1']]",un-fuckin-said
UNSCATHED,2,"['un', 'scathed']","[['un', '0'], ['scathed', '1']]",un-fuckin-scathed
UNSEAL,2,"['un', 'seal']","[['un', '0'], ['seal', '1']]",un-fuckin-seal
UNSEALED,2,"['un', 'sealed']","[['un', '0'], ['sealed', '1']]",un-fuckin-sealed
UNSEAT,2,"['un', 'seat']","[['un', '0'], ['seat', '1']]",un-fuckin-seat
UNSEEN,2,"['un', 'seen']","[['un', '0'], ['seen', '1']]",un-fuckin-seen
UNSELL,2,"['un', 'sell']","[['un', '0'], ['sell', '1']]",un-fuckin-sell
UNSET,2,"['un', 'set']","[['un', '0'], ['set', '1']]",un-fuckin-set
UNSIGNED,2,"['un', 'signed']","[['un', '0'], ['signed', '1']]",un-fuckin-signed
UNSKILLED,2,"['un', 'skilled']","[['un', '0'], ['skilled', '1']]",un-fuckin-skilled
UNSOLD,2,"['un', 'sold']","[['un', '0'], ['sold', '1']]",un-fuckin-sold
UNSOLVED,2,"['un', 'solved']","[['un', '0'], ['solved', '1']]",un-fuckin-solved
UNSOUND,2,"['un', 'sound']","[['un', '0'], ['sound', '1']]",un-fuckin-sound
UNSPENT,2,"['un', 'spent']","[['un', '0'], ['spent', '1']]",un-fuckin-spent
UNSPOILED,2,"['un', 'spoiled']","[['un', '0'], ['spoiled', '1']]",un-fuckin-spoiled
UNSTAINED,2,"['un', 'stained']","[['un', '0'], ['stained', '1']]",un-fuckin-stained
UNSTUCK,2,"['un', 'stuck']","[['un', '0'], ['stuck', '1']]",un-fuckin-stuck
UNSUNG,2,"['un', 'sung']","[['un', '0'], ['sung', '1']]",un-fuckin-sung
UNSURE,2,"['un', 'sure']","[['un', '0'], ['sure', '1']]",un-fuckin-sure
UNSWAYED,2,"['un', 'swayed']","[['un', '0'], ['swayed', '1']]",un-fuckin-swayed
UNTIE,2,"['un', 'tie']","[['un', '0'], ['tie', '1']]",un-fuckin-tie
UNTIED,2,"['un', 'tied']","[['un', '0'], ['tied', '1']]",un-fuckin-tied
UNTIL,2,"['un', 'til']","[['un', '0'], ['til', '1']]",un-fuckin-til
UNTOLD,2,"['un', 'told']","[['un', '0'], ['told', '1']]",un-fuckin-told
UNTOUCHED,2,"['un', 'touched']","[['un', '0'], ['touched', '1']]",un-fuckin-touched
UNTRAINED,2,"['un', 'trained']","[['un', '0'], ['trained', '1']]",un-fuckin-trained
UNTRIED,2,"['un', 'tried']","[['un', '0'], ['tried', '1']]",un-fuckin-tried
UNTRUE,2,"['un', 'true']","[['un', '0'], ['true', '1']]",un-fuckin-true
UNTRUTH,2,"['un', 'truth']","[['un', '0'], ['truth', '1']]",un-fuckin-truth
UNTRUTHS,2,"['un', 'truths']","[['un', '0'], ['truths', '1']]",un-fuckin-truths
UNTURNED,2,"['un', 'turned']","[['un', '0'], ['turned', '1']]",un-fuckin-turned
UNUSED,2,"['un', 'used']","[['un', '0'], ['used', '1']]",un-fuckin-used
UNVEIL,2,"['un', 'veil']","[['un', '0'], ['veil', '1']]",un-fuckin-veil
UNVEILED,2,"['un', 'veiled']","[['un', '0'], ['veiled', '1']]",un-fuckin-veiled
UNWASHED,2,"['un', 'washed']","[['un', '0'], ['washed', '1']]",un-fuckin-washed
UNWED,2,"['un', 'wed']","[['un', '0'], ['wed', '1']]",un-fuckin-wed
UNWIND,2,"['un', 'wind']","[['un', '0'], ['wind', '1']]",un-fuckin-wind
UNWISE,2,"['un', 'wise']","[['un', '0'], ['wise', '1']]",un-fuckin-wise
UNWOUND,2,"['un', 'wound']","[['un', '0'], ['wound', '1']]",un-fuckin-wound
UNWRAP,2,"['un', 'wrap']","[['un', '0'], ['wrap', '1']]",un-fuckin-wrap
UNWRAPPED,2,"['un', 'wrapped']","[['un', '0'], ['wrapped', '1']]",un-fuckin-wrapped
UNZIP,2,"['un', 'zip']","[['un', '0'], ['zip', '1']]",un-fuckin-zip
UNZIPPED,2,"['un', 'zipped']","[['un', '0'], ['zipped', '1']]",un-fuckin-zipped
UPDATE,2,"['up', 'date']","[['up', '0'], ['date', '1']]",up-fuckin-date
UPGRADE,2,"['up', 'grade']","[['up', '0'], ['grade', '1']]",up-fuckin-grade
UPHELD,2,"['up', 'held']","[['up', '0'], ['held', '1']]",up-fuckin-held
UPHOLD,2,"['up', 'hold']","[['up', '0'], ['hold', '1']]",up-fuckin-hold
UPON,2,"['up', 'on']","[['up', '0'], ['on', '1']]",up-fuckin-on
UPRIGHT,2,"['up', 'right']","[['up', '0'], ['right', '1']]",up-fuckin-right
UPROOT,2,"['up', 'root']","[['up', '0'], ['root', '1']]",up-fuckin-root
UPSET,2,"['up', 'set']","[['up', '0'], ['set', '1']]",up-fuckin-set
UPSTAGE,2,"['up', 'stage']","[['up', '0'], ['stage', '1']]",up-fuckin-stage
UPSTAIRS,2,"['up', 'stairs']","[['up', '0'], ['stairs', '1']]",up-fuckin-stairs
UPSTARTS,2,"['up', 'starts']","[['up', '0'], ['starts', '1']]",up-fuckin-starts
UPSWING,2,"['up', 'swing']","[['up', '0'], ['swing', '1']]",up-fuckin-swing
UPTIGHT,2,"['up', 'tight']","[['up', '0'], ['tight', '1']]",up-fuckin-tight
UPTURN,2,"['up', 'turn']","[['up', '0'], ['turn', '1']]",up-fuckin-turn
URBANE,2,"['ur', 'bane']","[['ur', '0'], ['bane', '1']]",ur-fuckin-bane
URDU,2,"['Ur', 'du']","[['Ur', '0'], ['du', '1']]",Ur-fuckin-du
USURP,2,"['u', 'surp']","[['u', '2'], ['surp', '1']]",u-fuckin-surp
VACCINE,2,"['vac', 'cine']","[['vac', '2'], ['cine', '1']]",vac-fuckin-cine
VACCINES,2,"['vac', 'cines']","[['vac', '2'], ['cines', '1']]",vac-fuckin-cines
VALDEZ,2,"['Val', 'dez']","[['Val', '0'], ['dez', '1']]",Val-fuckin-dez
VALET,2,"['val', 'et']","[['val', '0'], ['et', '1']]",val-fuckin-et
VALOIS,2,"['Va', 'lois']","[['Va', '0'], ['lois', '1']]",Va-fuckin-lois
VANDYKE,2,"['Van', 'dyke']","[['Van', '2'], ['dyke', '1']]",Van-fuckin-dyke
VARVEL,2,"['var', 'vel']","[['var', '0'], ['vel', '1']]",var-fuckin-vel
VEDETTE,2,"['ve', 'dette']","[['ve', '0'], ['dette', '1']]",ve-fuckin-dette
VENEER,2,"['ve', 'neer']","[['ve', '0'], ['neer', '1']]",ve-fuckin-neer
VERMONT,2,"['Ver', 'mont']","[['Ver', '0'], ['mont', '1']]",Ver-fuckin-mont
VERMOUTH,2,"['ver', 'mouth']","[['ver', '0'], ['mouth', '1']]",ver-fuckin-mouth
VERSAILLES,2,"['Ver', 'sailles']","[['Ver', '0'], ['sailles', '1']]",Ver-fuckin-sailles
VERWOERD,2,"['Ver', 'woerd']","[['Ver', '0'], ['woerd', '1']]",Ver-fuckin-woerd
VIDAL,2,"['Vi', 'dal']","[['Vi', '0'], ['dal', '1']]",Vi-fuckin-dal
VIET,2,"['Vi', 'et']","[['Vi', '0'], ['et', '1']]",Vi-fuckin-et
VIGNETTE,2,"['vi', 'gnette']","[['vi', '0'], ['gnette', '1']]",vi-fuckin-gnette
VIOLE,2,"['vi', 'ole']","[['vi', '2'], ['ole', '1']]",vi-fuckin-ole
VOLTAIRE,2,"['Vol', 'taire']","[['Vol', '0'], ['taire', '1']]",Vol-fuckin-taire
VOYEUR,2,"['vo', 'yeur']","[['vo', '2'], ['yeur', '1']]",vo-fuckin-yeur
WAHOO,2,"['wa', 'hoo']","[['wa', '0'], ['hoo', '1']]",wa-fuckin-hoo
WHEREAS,2,"['where', 'as']","[['where', '0'], ['as', '1']]",where-fuckin-as
WHEREBY,2,"['where', 'by']","[['where', '0'], ['by', '1']]",where-fuckin-by
WHEREIN,2,"['where', 'in']","[['where', '0'], ['in', '1']]",where-fuckin-in
WILLETTE,2,"['Will', 'ette']","[['Will', '0'], ['ette', '1']]",Will-fuckin-ette
WITHDRAW,2,"['with', 'draw']","[['with', '0'], ['draw', '1']]",with-fuckin-draw
WITHDRAWN,2,"['with', 'drawn']","[['with', '0'], ['drawn', '1']]",with-fuckin-drawn
WITHDREW,2,"['with', 'drew']","[['with', '0'], ['drew', '1']]",with-fuckin-drew
WITHHELD,2,"['with', 'held']","[['with', '0'], ['held', '1']]",with-fuckin-held
WITHHOLD,2,"['with', 'hold']","[['with', '0'], ['hold', '1']]",with-fuckin-hold
WITHIN,2,"['with', 'in']","[['with', '0'], ['in', '1']]",with-fuckin-in
WITHOUT,2,"['with', 'out']","[['with', '0'], ['out', '1']]",with-fuckin-out
WITHSTAND,2,"['with', 'stand']","[['with', '0'], ['stand', '1']]",with-fuckin-stand
WITHSTOOD,2,"['with', 'stood']","[['with', '0'], ['stood', '1']]",with-fuckin-stood
YEAREND,2,"['year', 'end']","[['year', '2'], ['end', '1']]",year-fuckin-end
YIPPEE,2,"['yip', 'pee']","[['yip', '2'], ['pee', '1']]",yip-fuckin-pee
YOURSELF,2,"['your', 'self']","[['your', '0'], ['self', '1']]",your-fuckin-self
YOURSELVES,2,"['your', 'selves']","[['your', '0'], ['selves', '1']]",your-fuckin-selves
YUAN,2,"['Yu', 'an']","[['Yu', '0'], ['an', '1']]",Yu-fuckin-an
ZAIRE,2,"['Za', 'ire']","[['Za', '0'], ['ire', '1']]",Za-fuckin-ire
SELECT,2,"['se', 'lect']","[['se', '0'], ['lect', '1']]",se-fuckin-lect
SERENE,2,"['se', 'rene']","[['se', '0'], ['rene', '1']]",se-fuckin-rene
SERGEI,2,"['Ser', 'gei']","[['Ser', '0'], ['gei', '1']]",Ser-fuckin-gei
SEVERE,2,"['se', 'vere']","[['se', '0'], ['vere', '1']]",se-fuckin-vere
SEVILLE,2,"['Se', 'ville']","[['Se', '0'], ['ville', '1']]",Se-fuckin-ville
SEXTET,2,"['sex', 'tet']","[['sex', '0'], ['tet', '1']]",sex-fuckin-tet
SHALOM,2,"['sha', 'lom']","[['sha', '0'], ['lom', '1']]",sha-fuckin-lom
SHAMIR,2,"['Sha', 'mir']","[['Sha', '0'], ['mir', '1']]",Sha-fuckin-mir
SHAMPOO,2,"['sham', 'poo']","[['sham', '0'], ['poo', '1']]",sham-fuckin-poo
SHAMPOOED,2,"['sham', 'pooed']","[['sham', '0'], ['pooed', '1']]",sham-fuckin-pooed
SHARIF,2,"['sha', 'rif']","[['sha', '0'], ['rif', '1']]",sha-fuckin-rif
SHENYANG,2,"['Shen', 'yang']","[['Shen', '0'], ['yang', '1']]",Shen-fuckin-yang
SHORTCHANGE,2,"['short', 'change']","[['short', '2'], ['change', '1']]",short-fuckin-change
SIAM,2,"['Si', 'am']","[['Si', '0'], ['am', '1']]",Si-fuckin-am
SICHUAN,2,"['Si', 'chuan']","[['Si', '2'], ['chuan', '1']]",Si-fuckin-chuan
SIMONE,2,"['Si', 'mone']","[['Si', '0'], ['mone', '1']]",Si-fuckin-mone
SINCERE,2,"['sin', 'cere']","[['sin', '0'], ['cere', '1']]",sin-fuckin-cere
SINCLAIR,2,"['Sin', 'clair']","[['Sin', '0'], ['clair', '1']]",Sin-fuckin-clair
SISTINE,2,"['Sis', 'tine']","[['Sis', '0'], ['tine', '1']]",Sis-fuckin-tine
SIXTEEN,2,"['six', 'teen']","[['six', '0'], ['teen', '1']]",six-fuckin-teen
SIXTEENTH,2,"['six', 'teenth']","[['six', '0'], ['teenth', '1']]",six-fuckin-teenth
SLOVENE,2,"['Slo', 'vene']","[['Slo', '2'], ['vene', '1']]",Slo-fuckin-vene
SMOLENSK,2,"['Smo', 'lensk']","[['Smo', '0'], ['lensk', '1']]",Smo-fuckin-lensk
SOIREE,2,"['soi', 'ree']","[['soi', '0'], ['ree', '1']]",soi-fuckin-ree
SOMETIMES,2,"['some', 'times']","[['some', '0'], ['times', '1']]",some-fuckin-times
SORBET,2,"['sor', 'bet']","[['sor', '2'], ['bet', '1']]",sor-fuckin-bet
SORBONNE,2,"['Sor', 'bonne']","[['Sor', '0'], ['bonne', '1']]",Sor-fuckin-bonne
SOUFFLE,2,"['souf', 'fle']","[['souf', '0'], ['fle', '1']]",souf-fuckin-fle
SOUTHEAST,2,"['south', 'east']","[['south', '2'], ['east', '1']]",south-fuckin-east
SOUTHWEST,2,"['south', 'west']","[['south', '2'], ['west', '1']]",south-fuckin-west
SPOKANE,2,"['Spo', 'kane']","[['Spo', '0'], ['kane', '1']]",Spo-fuckin-kane
STAMPEDE,2,"['stam', 'pede']","[['stam', '0'], ['pede', '1']]",stam-fuckin-pede
STEROID,2,"['ste', 'roid']","[['ste', '0'], ['roid', '1']]",ste-fuckin-roid
SUAREZ,2,"['Suar', 'ez']","[['Suar', '0'], ['ez', '1']]",Suar-fuckin-ez
SUBDUE,2,"['sub', 'due']","[['sub', '0'], ['due', '1']]",sub-fuckin-due
SUBDUED,2,"['sub', 'dued']","[['sub', '0'], ['dued', '1']]",sub-fuckin-dued
SUBJECT,2,"['sub', 'ject']","[['sub', '0'], ['ject', '1']]",sub-fuckin-ject
SUBLIME,2,"['sub', 'lime']","[['sub', '0'], ['lime', '1']]",sub-fuckin-lime
SUBMERGE,2,"['sub', 'merge']","[['sub', '0'], ['merge', '1']]",sub-fuckin-merge
SUBMERGED,2,"['sub', 'merged']","[['sub', '0'], ['merged', '1']]",sub-fuckin-merged
SUBMERSE,2,"['sub', 'merse']","[['sub', '0'], ['merse', '1']]",sub-fuckin-merse
SUBMERSED,2,"['sub', 'mersed']","[['sub', '0'], ['mersed', '1']]",sub-fuckin-mersed
SUBMIT,2,"['sub', 'mit']","[['sub', '0'], ['mit', '1']]",sub-fuckin-mit
SUBPAR,2,"['sub', 'par']","[['sub', '0'], ['par', '1']]",sub-fuckin-par
SUBSCRIBE,2,"['sub', 'scribe']","[['sub', '0'], ['scribe', '1']]",sub-fuckin-scribe
SUBSCRIBED,2,"['sub', 'scribed']","[['sub', '0'], ['scribed', '1']]",sub-fuckin-scribed
SUBSIDE,2,"['sub', 'side']","[['sub', '0'], ['side', '1']]",sub-fuckin-side
SUBSIST,2,"['sub', 'sist']","[['sub', '0'], ['sist', '1']]",sub-fuckin-sist
SUBTRACT,2,"['sub', 'tract']","[['sub', '0'], ['tract', '1']]",sub-fuckin-tract
SUBVERT,2,"['sub', 'vert']","[['sub', '0'], ['vert', '1']]",sub-fuckin-vert
SUCCEED,2,"['suc', 'ceed']","[['suc', '0'], ['ceed', '1']]",suc-fuckin-ceed
SUCCESS,2,"['suc', 'cess']","[['suc', '0'], ['cess', '1']]",suc-fuckin-cess
SUCCINCT,2,"['suc', 'cinct']","[['suc', '0'], ['cinct', '1']]",suc-fuckin-cinct
SUCCUMB,2,"['suc', 'cumb']","[['suc', '0'], ['cumb', '1']]",suc-fuckin-cumb
SUDAN,2,"['Su', 'dan']","[['Su', '0'], ['dan', '1']]",Su-fuckin-dan
SUFFICE,2,"['suf', 'fice']","[['suf', '0'], ['fice', '1']]",suf-fuckin-fice
SUFFICED,2,"['suf', 'ficed']","[['suf', '0'], ['ficed', '1']]",suf-fuckin-ficed
SUFFUSE,2,"['suf', 'fuse']","[['suf', '0'], ['fuse', '1']]",suf-fuckin-fuse
SUFFUSED,2,"['suf', 'fused']","[['suf', '0'], ['fused', '1']]",suf-fuckin-fused
SUGGEST,2,"['sug', 'gest']","[['sug', '0'], ['gest', '1']]",sug-fuckin-gest
