,word,num_syllables,syllables,stress_pattern,infixed
42,TIGER,2,"['ti', 'ger']","[['ti', '1'], ['ger', '0']]",t-iz-iger
43,TIGERS,2,"['ti', 'gers']","[['ti', '1'], ['gers', '0']]",t-iz-igers
44,TIGHE,1,['Tighe'],"[['Tighe', '1']]",t-iz-ighe
45,TIGHT,1,['tight'],"[['tight', '1']]",t-iz-ight
46,TIGHTEN,2,"['tight', 'en']","[['tight', '1'], ['en', '0']]",t-iz-ighten
47,TIGHTER,2,"['tight', 'er']","[['tight', '1'], ['er', '0']]",t-iz-ighter
48,TIGHTEST,2,"['tight', 'est']","[['tight', '1'], ['est', '0']]",t-iz-ightest
50,TIGHTLY,2,"['tight', 'ly']","[['tight', '1'], ['ly', '0']]",t-iz-ightly
51,TIGHTNESS,2,"['tight', 'ness']","[['tight', '1'], ['ness', '0']]",t-iz-ightness
52,TIGHTROPE,2,"['tight', 'rope']","[['tight', '1'], ['rope', '2']]",t-iz-ightrope
53,TIGHTS,1,['tights'],"[['tights', '1']]",t-iz-ights
54,TIGHTWAD,2,"['tight', 'wad']","[['tight', '1'], ['wad', '2']]",t-iz-ightwad
55,TIGON,2,"['ti', 'gon']","[['ti', '1'], ['gon', '0']]",t-iz-igon
56,TIGRIS,2,"['Ti', 'gris']","[['Ti', '1'], ['gris', '0']]",T-iz-igris
58,TIKE,1,['tike'],"[['tike', '1']]",t-iz-ike
59,TIKES,1,['tikes'],"[['tikes', '1']]",t-iz-ikes
60,TIL,1,['til'],"[['til', '1']]",t-iz-il
62,TILDEN,2,"['Til', 'den']","[['Til', '1'], ['den', '0']]",T-iz-ilden
63,TILE,1,['tile'],"[['tile', '1']]",t-iz-ile
64,TILED,1,['tiled'],"[['tiled', '1']]",t-iz-iled
65,TILES,1,['tiles'],"[['tiles', '1']]",t-iz-iles
66,TILL,1,['till'],"[['till', '1']]",t-iz-ill
67,TILLER,2,"['till', 'er']","[['till', '1'], ['er', '0']]",t-iz-iller
68,TILLEY,2,"['til', 'ley']","[['til', '1'], ['ley', '0']]",t-iz-illey
69,TILLMAN,2,"['till', 'man']","[['till', '1'], ['man', '0']]",t-iz-illman
70,TILLY,2,"['Til', 'ly']","[['Til', '1'], ['ly', '0']]",T-iz-illy
71,TILT,1,['tilt'],"[['tilt', '1']]",t-iz-ilt
72,TILTED,2,"['tilt', 'ed']","[['tilt', '1'], ['ed', '0']]",t-iz-ilted
73,TILTH,1,['tilth'],"[['tilth', '1']]",t-iz-ilth
74,TILTING,2,"['tilt', 'ing']","[['tilt', '1'], ['ing', '0']]",t-iz-ilting
75,TILTS,1,['tilts'],"[['tilts', '1']]",t-iz-ilts
76,TIM,1,['Tim'],"[['Tim', '1']]",t-iz-im
77,TIMBER,2,"['tim', 'ber']","[['tim', '1'], ['ber', '0']]",t-iz-imber
81,TIMBRE,2,"['tim', 'bre']","[['tim', '1'], ['bre', '0']]",t-iz-imbre
83,TIME,1,['time'],"[['time', '1']]",t-iz-ime
84,TIMED,1,['timed'],"[['timed', '1']]",t-iz-imed
85,TIMELESS,2,"['time', 'less']","[['time', '1'], ['less', '0']]",t-iz-imeless
86,TIMELINE,2,"['time', 'line']","[['time', '1'], ['line', '0']]",t-iz-imeline
87,TIMELINES,2,"['time', 'lines']","[['time', '1'], ['lines', '0']]",t-iz-imelines
89,TIMELY,2,"['time', 'ly']","[['time', '1'], ['ly', '0']]",t-iz-imely
90,TIMEOUT,2,"['time', 'out']","[['time', '1'], ['out', '2']]",t-iz-imeout
91,TIMEPIECE,2,"['time', 'piece']","[['time', '1'], ['piece', '2']]",t-iz-imepiece
92,TIMER,2,"['tim', 'er']","[['tim', '1'], ['er', '0']]",t-iz-imer
93,TIMES,1,['times'],"[['times', '1']]",t-iz-imes
94,TIMESHARE,2,"['time', 'share']","[['time', '1'], ['share', '2']]",t-iz-imeshare
96,TIMID,2,"['tim', 'id']","[['tim', '1'], ['id', '0']]",t-iz-imid
99,TIMING,2,"['tim', 'ing']","[['tim', '1'], ['ing', '0']]",t-iz-iming
100,TIMME,1,['timme'],"[['timme', '1']]",t-iz-imme
101,TIMMER,2,"['tim', 'mer']","[['tim', '1'], ['mer', '0']]",t-iz-immer
102,TIMON,2,"['Ti', 'mon']","[['Ti', '1'], ['mon', '0']]",T-iz-imon
103,TIMOR,2,"['Ti', 'mor']","[['Ti', '0'], ['mor', '1']]",Tim-iz-or
107,TIMS,1,['tims'],"[['tims', '1']]",t-iz-ims
108,TIN,1,['tin'],"[['tin', '1']]",t-iz-in
109,TINCTURE,2,"['tinc', 'ture']","[['tinc', '1'], ['ture', '0']]",t-iz-incture
110,TINDAL,2,"['Tin', 'dal']","[['Tin', '1'], ['dal', '0']]",T-iz-indal
111,TINDER,2,"['tin', 'der']","[['tin', '1'], ['der', '0']]",t-iz-inder
113,TINE,1,['tine'],"[['tine', '1']]",t-iz-ine
114,TINES,1,['tines'],"[['tines', '1']]",t-iz-ines
115,TING,1,['ting'],"[['ting', '1']]",t-iz-ing
116,TINGE,1,['tinge'],"[['tinge', '1']]",t-iz-inge
117,TINGED,1,['tinged'],"[['tinged', '1']]",t-iz-inged
118,TINGLE,2,"['tin', 'gle']","[['tin', '1'], ['gle', '0']]",t-iz-ingle
121,TINKER,2,"['tin', 'ker']","[['tin', '1'], ['ker', '0']]",t-iz-inker
124,TINKLE,2,"['tin', 'kle']","[['tin', '1'], ['kle', '0']]",t-iz-inkle
125,TINKLED,2,"['tin', 'kled']","[['tin', '1'], ['kled', '0']]",t-iz-inkled
126,TINMAN,2,"['tin', 'man']","[['tin', '1'], ['man', '2']]",t-iz-inman
127,TINNY,2,"['tin', 'ny']","[['tin', '1'], ['ny', '0']]",t-iz-inny
128,TINS,1,['tins'],"[['tins', '1']]",t-iz-ins
129,TINSEL,2,"['tin', 'sel']","[['tin', '1'], ['sel', '0']]",t-iz-insel
130,TINT,1,['tint'],"[['tint', '1']]",t-iz-int
131,TINTO,2,"['tin', 'to']","[['tin', '1'], ['to', '0']]",t-iz-into
132,TINTS,1,['tints'],"[['tints', '1']]",t-iz-ints
133,TINTYPE,2,"['tin', 'type']","[['tin', '1'], ['type', '2']]",t-iz-intype
134,TINY,2,"['ti', 'ny']","[['ti', '1'], ['ny', '0']]",t-iz-iny
135,TIP,1,['tip'],"[['tip', '1']]",t-iz-ip
136,TIPOFF,2,"['tip', 'off']","[['tip', '1'], ['off', '2']]",t-iz-ipoff
137,TIPP,1,['tipp'],"[['tipp', '1']]",t-iz-ipp
138,TIPPED,1,['tipped'],"[['tipped', '1']]",t-iz-ipped
139,TIPPER,2,"['tip', 'per']","[['tip', '1'], ['per', '0']]",t-iz-ipper
140,TIPPET,2,"['tip', 'pet']","[['tip', '1'], ['pet', '0']]",t-iz-ippet
141,TIPPING,2,"['tip', 'ping']","[['tip', '1'], ['ping', '0']]",t-iz-ipping
142,TIPPLE,2,"['tip', 'ple']","[['tip', '1'], ['ple', '0']]",t-iz-ipple
143,TIPPY,2,"['tip', 'py']","[['tip', '1'], ['py', '0']]",t-iz-ippy
144,TIPS,1,['tips'],"[['tips', '1']]",t-iz-ips
145,TIPSTER,2,"['tip', 'ster']","[['tip', '1'], ['ster', '0']]",t-iz-ipster
146,TIPSY,2,"['tip', 'sy']","[['tip', '1'], ['sy', '0']]",t-iz-ipsy
147,TIPTOE,2,"['tip', 'toe']","[['tip', '1'], ['toe', '2']]",t-iz-iptoe
148,TIPTOED,2,"['tip', 'toed']","[['tip', '1'], ['toed', '2']]",t-iz-iptoed
150,TIRADE,2,"['ti', 'rade']","[['ti', '0'], ['rade', '1']]",tir-iz-ade
153,TIRING,2,"['tir', 'ing']","[['tir', '1'], ['ing', '0']]",t-iz-iring
154,TIROS,2,"['ti', 'ros']","[['ti', '1'], ['ros', '0']]",t-iz-iros
155,TIS,1,['tis'],"[['tis', '1']]",t-iz-is
156,TISSUE,2,"['tis', 'sue']","[['tis', '1'], ['sue', '2']]",t-iz-issue
157,TISSUES,2,"['tis', 'sues']","[['tis', '1'], ['sues', '2']]",t-iz-issues
158,TIT,1,['tit'],"[['tit', '1']]",t-iz-it
159,TITAN,2,"['Ti', 'tan']","[['Ti', '1'], ['tan', '0']]",T-iz-itan
163,TITHE,1,['tithe'],"[['tithe', '1']]",t-iz-ithe
164,TITHING,2,"['tith', 'ing']","[['tith', '1'], ['ing', '0']]",t-iz-ithing
165,TITIAN,2,"['Ti', 'tian']","[['Ti', '1'], ['tian', '0']]",T-iz-itian
170,TITLE,2,"['ti', 'tle']","[['ti', '1'], ['tle', '0']]",t-iz-itle
171,TITLED,2,"['ti', 'tled']","[['ti', '1'], ['tled', '0']]",t-iz-itled
173,TITMAN,2,"['tit', 'man']","[['tit', '1'], ['man', '0']]",t-iz-itman
174,TITO,2,"['Ti', 'to']","[['Ti', '1'], ['to', '0']]",T-iz-ito
175,TITTER,2,"['tit', 'ter']","[['tit', '1'], ['ter', '0']]",t-iz-itter
176,TITTLE,2,"['tit', 'tle']","[['tit', '1'], ['tle', '0']]",t-iz-ittle
178,TITUS,2,"['Ti', 'tus']","[['Ti', '1'], ['tus', '0']]",T-iz-itus
180,TIZZY,2,"['tiz', 'zy']","[['tiz', '1'], ['zy', '0']]",t-iz-izzy
181,TLINGIT,2,"['Tlin', 'git']","[['Tlin', '1'], ['git', '0']]",Tl-iz-ingit
182,TO,1,['to'],"[['to', '1']]",t-iz-o
183,TOAD,1,['toad'],"[['toad', '1']]",t-iz-oad
184,TOADS,1,['toads'],"[['toads', '1']]",t-iz-oads
185,TOAST,1,['toast'],"[['toast', '1']]",t-iz-oast
186,TOASTER,2,"['toast', 'er']","[['toast', '1'], ['er', '0']]",t-iz-oaster
187,TOASTING,2,"['toast', 'ing']","[['toast', '1'], ['ing', '0']]",t-iz-oasting
189,TOASTS,1,['toasts'],"[['toasts', '1']]",t-iz-oasts
193,TOBEY,2,"['To', 'bey']","[['To', '1'], ['bey', '0']]",T-iz-obey
195,TOBIE,2,"['to', 'bie']","[['to', '1'], ['bie', '0']]",t-iz-obie
197,TOBY,2,"['To', 'by']","[['To', '1'], ['by', '0']]",T-iz-oby
198,TOCK,1,['tock'],"[['tock', '1']]",t-iz-ock
199,TOCQUEVILLE,2,"['Tocque', 'ville']","[['Tocque', '1'], ['ville', '0']]",T-iz-ocqueville
200,TOD,1,['tod'],"[['tod', '1']]",t-iz-od
201,TODAY,2,"['to', 'day']","[['to', '0'], ['day', '1']]",tod-iz-ay
202,TODAYS,2,"['to', 'days']","[['to', '0'], ['days', '1']]",tod-iz-ays
203,TODD,1,['Todd'],"[['Todd', '1']]",t-iz-odd
204,TODDLE,2,"['tod', 'dle']","[['tod', '1'], ['dle', '0']]",t-iz-oddle
205,TODDLER,2,"['tod', 'dler']","[['tod', '1'], ['dler', '0']]",t-iz-oddler
206,TODDLING,2,"['tod', 'dling']","[['tod', '1'], ['dling', '0']]",t-iz-oddling
207,TODT,1,['todt'],"[['todt', '1']]",t-iz-odt
208,TOE,1,['toe'],"[['toe', '1']]",t-iz-oe
209,TOED,1,['toed'],"[['toed', '1']]",t-iz-oed
210,TOEHOLD,2,"['toe', 'hold']","[['toe', '1'], ['hold', '2']]",t-iz-oehold
211,TOEING,2,"['toe', 'ing']","[['toe', '1'], ['ing', '0']]",t-iz-oeing
212,TOENAIL,2,"['toe', 'nail']","[['toe', '1'], ['nail', '2']]",t-iz-oenail
213,TOES,1,['toes'],"[['toes', '1']]",t-iz-oes
214,TOFFEE,2,"['tof', 'fee']","[['tof', '1'], ['fee', '0']]",t-iz-offee
215,TOFT,1,['toft'],"[['toft', '1']]",t-iz-oft
216,TOFU,2,"['to', 'fu']","[['to', '1'], ['fu', '0']]",t-iz-ofu
217,TOGA,2,"['to', 'ga']","[['to', '1'], ['ga', '0']]",t-iz-oga
220,TOGGLE,2,"['tog', 'gle']","[['tog', '1'], ['gle', '0']]",t-iz-oggle
221,TOGGLED,2,"['tog', 'gled']","[['tog', '1'], ['gled', '0']]",t-iz-oggled
222,TOGGLING,2,"['tog', 'gling']","[['tog', '1'], ['gling', '0']]",t-iz-oggling
223,TOGO,2,"['To', 'go']","[['To', '1'], ['go', '0']]",T-iz-ogo
224,TOGS,1,['togs'],"[['togs', '1']]",t-iz-ogs
225,TOIL,1,['toil'],"[['toil', '1']]",t-iz-oil
226,TOILED,1,['toiled'],"[['toiled', '1']]",t-iz-oiled
227,TOILET,2,"['toi', 'let']","[['toi', '1'], ['let', '0']]",t-iz-oilet
230,TOILS,1,['toils'],"[['toils', '1']]",t-iz-oils
231,TOKEN,2,"['to', 'ken']","[['to', '1'], ['ken', '0']]",t-iz-oken
234,TOLAN,2,"['to', 'lan']","[['to', '1'], ['lan', '0']]",t-iz-olan
235,TOLD,1,['told'],"[['told', '1']]",t-iz-old
236,TOLE,1,['tole'],"[['tole', '1']]",t-iz-ole
245,TOLES,1,['toles'],"[['toles', '1']]",t-iz-oles
246,TOLL,1,['toll'],"[['toll', '1']]",t-iz-oll
247,TOLLBOOTH,2,"['toll', 'booth']","[['toll', '1'], ['booth', '2']]",t-iz-ollbooth
248,TOLLED,1,['tolled'],"[['tolled', '1']]",t-iz-olled
249,TOLLER,2,"['Tol', 'ler']","[['Tol', '1'], ['ler', '0']]",T-iz-oller
250,TOLLS,1,['tolls'],"[['tolls', '1']]",t-iz-olls
251,TOLLY,2,"['tol', 'ly']","[['tol', '1'], ['ly', '0']]",t-iz-olly
252,TOLSTOY,2,"['Tol', 'stoy']","[['Tol', '1'], ['stoy', '2']]",T-iz-olstoy
253,TOM,1,['Tom'],"[['Tom', '1']]",t-iz-om
255,TOMAN,2,"['to', 'man']","[['to', '1'], ['man', '0']]",t-iz-oman
258,TOMB,1,['tomb'],"[['tomb', '1']]",t-iz-omb
259,TOMBLIKE,2,"['tomb', 'like']","[['tomb', '1'], ['like', '2']]",t-iz-omblike
260,TOMBOY,2,"['tom', 'boy']","[['tom', '1'], ['boy', '2']]",t-iz-omboy
261,TOMBS,1,['tombs'],"[['tombs', '1']]",t-iz-ombs
262,TOMBSTONE,2,"['tomb', 'stone']","[['tomb', '1'], ['stone', '2']]",t-iz-ombstone
263,TOMCAT,2,"['tom', 'cat']","[['tom', '1'], ['cat', '2']]",t-iz-omcat
264,TOME,1,['tome'],"[['tome', '1']]",t-iz-ome
265,TOMES,1,['tomes'],"[['tomes', '1']]",t-iz-omes
267,TOMMIE,2,"['Tom', 'mie']","[['Tom', '1'], ['mie', '0']]",T-iz-ommie
268,TOMMY,2,"['Tom', 'my']","[['Tom', '1'], ['my', '0']]",T-iz-ommy
270,TOMS,1,['toms'],"[['toms', '1']]",t-iz-oms
271,TON,1,['ton'],"[['ton', '1']]",t-iz-on
272,TONAL,2,"['ton', 'al']","[['ton', '1'], ['al', '0']]",t-iz-onal
275,TONE,1,['tone'],"[['tone', '1']]",t-iz-one
276,TONED,1,['toned'],"[['toned', '1']]",t-iz-oned
277,TONER,2,"['ton', 'er']","[['ton', '1'], ['er', '0']]",t-iz-oner
278,TONES,1,['tones'],"[['tones', '1']]",t-iz-ones
279,TONG,1,['tong'],"[['tong', '1']]",t-iz-ong
280,TONGE,1,['Tonge'],"[['Tonge', '1']]",t-iz-onge
281,TONGS,1,['tongs'],"[['tongs', '1']]",t-iz-ongs
282,TONGUE,1,['tongue'],"[['tongue', '1']]",t-iz-ongue
283,TONGUED,1,['tongued'],"[['tongued', '1']]",t-iz-ongued
284,TONGUES,1,['tongues'],"[['tongues', '1']]",t-iz-ongues
285,TONIC,2,"['ton', 'ic']","[['ton', '1'], ['ic', '0']]",t-iz-onic
286,TONIGHT,2,"['to', 'night']","[['to', '0'], ['night', '1']]",ton-iz-ight
287,TONING,2,"['ton', 'ing']","[['ton', '1'], ['ing', '0']]",t-iz-oning
288,TONITE,2,"['ton', 'ite']","[['ton', '0'], ['ite', '1']]",ton-iz-ite
289,TONK,1,['tonk'],"[['tonk', '1']]",t-iz-onk
290,TONN,1,['tonn'],"[['tonn', '1']]",t-iz-onn
291,TONNAGE,2,"['ton', 'nage']","[['ton', '1'], ['nage', '0']]",t-iz-onnage
292,TONNE,1,['tonne'],"[['tonne', '1']]",t-iz-onne
293,TONNER,2,"['ton', 'ner']","[['ton', '1'], ['ner', '0']]",t-iz-onner
294,TONNES,1,['tonnes'],"[['tonnes', '1']]",t-iz-onnes
295,TONS,1,['tons'],"[['tons', '1']]",t-iz-ons
296,TONSIL,2,"['ton', 'sil']","[['ton', '2'], ['sil', '0']]",tonsil
299,TONY,2,"['ton', 'y']","[['ton', '1'], ['y', '0']]",t-iz-ony
300,TOO,1,['too'],"[['too', '1']]",t-iz-oo
301,TOOK,1,['took'],"[['took', '1']]",t-iz-ook
302,TOOKE,1,['Tooke'],"[['Tooke', '1']]",t-iz-ooke
303,TOOL,1,['tool'],"[['tool', '1']]",t-iz-ool
304,TOOLBOX,2,"['tool', 'box']","[['tool', '1'], ['box', '2']]",t-iz-oolbox
305,TOOLED,1,['tooled'],"[['tooled', '1']]",t-iz-ooled
306,TOOLING,2,"['tool', 'ing']","[['tool', '1'], ['ing', '0']]",t-iz-ooling
308,TOOLS,1,['tools'],"[['tools', '1']]",t-iz-ools
309,TOOMBS,1,['toombs'],"[['toombs', '1']]",t-iz-oombs
310,TOON,1,['toon'],"[['toon', '1']]",t-iz-oon
311,TOOT,1,['toot'],"[['toot', '1']]",t-iz-oot
312,TOOTH,1,['tooth'],"[['tooth', '1']]",t-iz-ooth
313,TOOTHBRUSH,2,"['tooth', 'brush']","[['tooth', '1'], ['brush', '0']]",t-iz-oothbrush
315,TOOTHED,1,['toothed'],"[['toothed', '1']]",t-iz-oothed
316,TOOTHLESS,2,"['tooth', 'less']","[['tooth', '1'], ['less', '0']]",t-iz-oothless
317,TOOTHLIKE,2,"['tooth', 'like']","[['tooth', '1'], ['like', '2']]",t-iz-oothlike
318,TOOTHPASTE,2,"['tooth', 'paste']","[['tooth', '1'], ['paste', '2']]",t-iz-oothpaste
319,TOOTHPICK,2,"['tooth', 'pick']","[['tooth', '1'], ['pick', '2']]",t-iz-oothpick
320,TOOTHY,2,"['tooth', 'y']","[['tooth', '1'], ['y', '0']]",t-iz-oothy
321,TOOTLE,2,"['too', 'tle']","[['too', '1'], ['tle', '0']]",t-iz-ootle
322,TOOTS,1,['toots'],"[['toots', '1']]",t-iz-oots
323,TOOTSIE,2,"['toot', 'sie']","[['toot', '1'], ['sie', '1']]",t-iz-oots-iz-ie
324,TOP,1,['top'],"[['top', '1']]",t-iz-op
325,TOPAZ,2,"['to', 'paz']","[['to', '1'], ['paz', '2']]",t-iz-opaz
326,TOPE,1,['tope'],"[['tope', '1']]",t-iz-ope
329,TOPIC,2,"['top', 'ic']","[['top', '1'], ['ic', '0']]",t-iz-opic
331,TOPKNOT,2,"['top', 'knot']","[['top', '1'], ['knot', '2']]",t-iz-opknot
332,TOPLESS,2,"['top', 'less']","[['top', '1'], ['less', '0']]",t-iz-opless
335,TOPP,1,['topp'],"[['topp', '1']]",t-iz-opp
336,TOPPED,1,['topped'],"[['topped', '1']]",t-iz-opped
337,TOPPER,2,"['top', 'per']","[['top', '1'], ['per', '0']]",t-iz-opper
338,TOPPING,2,"['top', 'ping']","[['top', '1'], ['ping', '0']]",t-iz-opping
339,TOPPLE,2,"['top', 'ple']","[['top', '1'], ['ple', '0']]",t-iz-opple
340,TOPPLED,2,"['top', 'pled']","[['top', '1'], ['pled', '0']]",t-iz-oppled
341,TOPPLES,2,"['top', 'ples']","[['top', '1'], ['ples', '0']]",t-iz-opples
342,TOPS,1,['tops'],"[['tops', '1']]",t-iz-ops
343,TOPSOIL,2,"['top', 'soil']","[['top', '1'], ['soil', '2']]",t-iz-opsoil
345,TOR,1,['tor'],"[['tor', '1']]",t-iz-or
346,TORAH,2,"['To', 'rah']","[['To', '1'], ['rah', '0']]",T-iz-orah
347,TORAN,2,"['to', 'ran']","[['to', '0'], ['ran', '1']]",tor-iz-an
348,TORCH,1,['torch'],"[['torch', '1']]",t-iz-orch
349,TORCHED,1,['torched'],"[['torched', '1']]",t-iz-orched
350,TORCHING,2,"['torch', 'ing']","[['torch', '1'], ['ing', '0']]",t-iz-orching
351,TORE,1,['tore'],"[['tore', '1']]",t-iz-ore
352,TORI,2,"['to', 'ri']","[['to', '1'], ['ri', '0']]",t-iz-ori
353,TORIES,2,"['To', 'ries']","[['To', '1'], ['ries', '0']]",T-iz-ories
355,TORME,1,['torme'],"[['torme', '1']]",t-iz-orme
356,TORMENT,2,"['tor', 'ment']","[['tor', '1'], ['ment', '2']]",t-iz-orment
359,TORN,1,['torn'],"[['torn', '1']]",t-iz-orn
364,TORO,2,"['to', 'ro']","[['to', '1'], ['ro', '0']]",t-iz-oro
366,TORP,1,['torp'],"[['torp', '1']]",t-iz-orp
371,TORPID,2,"['tor', 'pid']","[['tor', '1'], ['pid', '0']]",t-iz-orpid
372,TORPOR,2,"['tor', 'por']","[['tor', '1'], ['por', '0']]",t-iz-orpor
373,TORQUE,1,['torque'],"[['torque', '1']]",t-iz-orque
374,TORR,1,['torr'],"[['torr', '1']]",t-iz-orr
375,TORRE,1,['torre'],"[['torre', '1']]",t-iz-orre
376,TORRENT,2,"['tor', 'rent']","[['tor', '1'], ['rent', '0']]",t-iz-orrent
378,TORRES,2,"['Tor', 'res']","[['Tor', '1'], ['res', '2']]",T-iz-orres
380,TORRID,2,"['tor', 'rid']","[['tor', '1'], ['rid', '0']]",t-iz-orrid
381,TORSO,2,"['tor', 'so']","[['tor', '1'], ['so', '2']]",t-iz-orso
382,TORSOS,2,"['tor', 'sos']","[['tor', '1'], ['sos', '2']]",t-iz-orsos
383,TORT,1,['tort'],"[['tort', '1']]",t-iz-ort
384,TORTE,1,['torte'],"[['torte', '1']]",t-iz-orte
387,TORTOISE,2,"['tor', 'toise']","[['tor', '1'], ['toise', '0']]",t-iz-ortoise
388,TORTS,1,['torts'],"[['torts', '1']]",t-iz-orts
390,TORTURE,2,"['tor', 'ture']","[['tor', '1'], ['ture', '0']]",t-iz-orture
391,TORTURED,2,"['tor', 'tured']","[['tor', '1'], ['tured', '0']]",t-iz-ortured
394,TORY,2,"['To', 'ry']","[['To', '1'], ['ry', '0']]",T-iz-ory
396,TOSH,1,['tosh'],"[['tosh', '1']]",t-iz-osh
397,TOSS,1,['toss'],"[['toss', '1']]",t-iz-oss
398,TOSSED,1,['tossed'],"[['tossed', '1']]",t-iz-ossed
399,TOSSING,2,"['toss', 'ing']","[['toss', '1'], ['ing', '0']]",t-iz-ossing
401,TOSTO,2,"['tos', 'to']","[['tos', '1'], ['to', '0']]",t-iz-osto
402,TOT,1,['tot'],"[['tot', '1']]",t-iz-ot
403,TOTA,2,"['to', 'ta']","[['to', '1'], ['ta', '0']]",t-iz-ota
404,TOTAL,2,"['to', 'tal']","[['to', '1'], ['tal', '0']]",t-iz-otal
405,TOTALED,2,"['to', 'taled']","[['to', '1'], ['taled', '0']]",t-iz-otaled
409,TOTALLED,2,"['to', 'talled']","[['to', '1'], ['talled', '0']]",t-iz-otalled
412,TOTE,1,['tote'],"[['tote', '1']]",t-iz-ote
413,TOTED,2,"['tot', 'ed']","[['tot', '1'], ['ed', '0']]",t-iz-oted
414,TOTEM,2,"['to', 'tem']","[['to', '1'], ['tem', '0']]",t-iz-otem
415,TOTES,1,['totes'],"[['totes', '1']]",t-iz-otes
416,TOTH,1,['toth'],"[['toth', '1']]",t-iz-oth
417,TOTING,2,"['tot', 'ing']","[['tot', '1'], ['ing', '0']]",t-iz-oting
418,TOTS,1,['tots'],"[['tots', '1']]",t-iz-ots
419,TOTTER,2,"['tot', 'ter']","[['tot', '1'], ['ter', '0']]",t-iz-otter
421,TOTTY,2,"['tot', 'ty']","[['tot', '1'], ['ty', '0']]",t-iz-otty
422,TOUCH,1,['touch'],"[['touch', '1']]",t-iz-ouch
423,TOUCHDOWN,2,"['touch', 'down']","[['touch', '1'], ['down', '2']]",t-iz-ouchdown
424,TOUCHED,1,['touched'],"[['touched', '1']]",t-iz-ouched
425,TOUCHING,2,"['touch', 'ing']","[['touch', '1'], ['ing', '0']]",t-iz-ouching
426,TOUCHSTONE,2,"['touch', 'stone']","[['touch', '1'], ['stone', '2']]",t-iz-ouchstone
427,TOUCHY,2,"['touch', 'y']","[['touch', '1'], ['y', '0']]",t-iz-ouchy
428,TOUGH,1,['tough'],"[['tough', '1']]",t-iz-ough
429,TOUGHEN,2,"['tough', 'en']","[['tough', '1'], ['en', '0']]",t-iz-oughen
430,TOUGHER,2,"['tough', 'er']","[['tough', '1'], ['er', '0']]",t-iz-ougher
431,TOUGHEST,2,"['tough', 'est']","[['tough', '1'], ['est', '0']]",t-iz-oughest
432,TOUGHNESS,2,"['tough', 'ness']","[['tough', '1'], ['ness', '0']]",t-iz-oughness
433,TOUGHS,1,['toughs'],"[['toughs', '1']]",t-iz-oughs
434,TOULOUSE,2,"['Tou', 'louse']","[['Tou', '0'], ['louse', '1']]",Toul-iz-ouse
435,TOUPEE,2,"['tou', 'pee']","[['tou', '2'], ['pee', '1']]",toup-iz-ee
