word,num_syllables,syllables,stress_pattern
TIFT,1,['tift'],"[['tift', '1']]"
TIG,1,['tig'],"[['tig', '1']]"
TIGER,2,"['ti', 'ger']","[['ti', '1'], ['ger', '0']]"
TIGERS,2,"['ti', 'gers']","[['ti', '1'], ['gers', '0']]"
TIGHE,1,['Tighe'],"[['Tighe', '1']]"
TIGHT,1,['tight'],"[['tight', '1']]"
TIGHTEN,2,"['tight', 'en']","[['tight', '1'], ['en', '0']]"
TIGHTER,2,"['tight', 'er']","[['tight', '1'], ['er', '0']]"
TIGHTEST,2,"['tight', 'est']","[['tight', '1'], ['est', '0']]"
TIGHTFISTED,3,"['tight', 'fist', 'ed']","[['tight', '1'], ['fist', '1'], ['ed', '0']]"
TIGHTLY,2,"['tight', 'ly']","[['tight', '1'], ['ly', '0']]"
TIGHTNESS,2,"['tight', 'ness']","[['tight', '1'], ['ness', '0']]"
TIGHTROPE,2,"['tight', 'rope']","[['tight', '1'], ['rope', '2']]"
TIGHTS,1,['tights'],"[['tights', '1']]"
TIGHTWAD,2,"['tight', 'wad']","[['tight', '1'], ['wad', '2']]"
TIGON,2,"['ti', 'gon']","[['ti', '1'], ['gon', '0']]"
TIGRIS,2,"['Ti', 'gris']","[['Ti', '1'], ['gris', '0']]"
TIJUANA,3,"['Ti', 'jua', 'na']","[['Ti', '0'], ['jua', '1'], ['na', '0']]"
TIKE,1,['tike'],"[['tike', '1']]"
TIKES,1,['tikes'],"[['tikes', '1']]"
TIL,1,['til'],"[['til', '1']]"
TILBURY,3,"['til', 'bur', 'y']","[['til', '1'], ['bur', '2'], ['y', '0']]"
TILDEN,2,"['Til', 'den']","[['Til', '1'], ['den', '0']]"
TILE,1,['tile'],"[['tile', '1']]"
TILED,1,['tiled'],"[['tiled', '1']]"
TILES,1,['tiles'],"[['tiles', '1']]"
TILL,1,['till'],"[['till', '1']]"
TILLER,2,"['till', 'er']","[['till', '1'], ['er', '0']]"
TILLEY,2,"['til', 'ley']","[['til', '1'], ['ley', '0']]"
TILLMAN,2,"['till', 'man']","[['till', '1'], ['man', '0']]"
TILLY,2,"['Til', 'ly']","[['Til', '1'], ['ly', '0']]"
TILT,1,['tilt'],"[['tilt', '1']]"
TILTED,2,"['tilt', 'ed']","[['tilt', '1'], ['ed', '0']]"
TILTH,1,['tilth'],"[['tilth', '1']]"
TILTING,2,"['tilt', 'ing']","[['tilt', '1'], ['ing', '0']]"
TILTS,1,['tilts'],"[['tilts', '1']]"
TIM,1,['Tim'],"[['Tim', '1']]"
TIMBER,2,"['tim', 'ber']","[['tim', '1'], ['ber', '0']]"
TIMBERLAND,3,"['tim', 'ber', 'land']","[['tim', '1'], ['ber', '0'], ['land', '2']]"
TIMBERLINE,3,"['tim', 'ber', 'line']","[['tim', '1'], ['ber', '0'], ['line', '2']]"
TIMBERMAN,3,"['tim', 'ber', 'man']","[['tim', '1'], ['ber', '0'], ['man', '0']]"
TIMBRE,2,"['tim', 'bre']","[['tim', '1'], ['bre', '0']]"
TIMBUKTU,3,"['Tim', 'buk', 'tu']","[['Tim', '2'], ['buk', '0'], ['tu', '1']]"
TIME,1,['time'],"[['time', '1']]"
TIMED,1,['timed'],"[['timed', '1']]"
TIMELESS,2,"['time', 'less']","[['time', '1'], ['less', '0']]"
TIMELINE,2,"['time', 'line']","[['time', '1'], ['line', '0']]"
TIMELINES,2,"['time', 'lines']","[['time', '1'], ['lines', '0']]"
TIMELINESS,3,"['time', 'li', 'ness']","[['time', '1'], ['li', '0'], ['ness', '0']]"
TIMELY,2,"['time', 'ly']","[['time', '1'], ['ly', '0']]"
TIMEOUT,2,"['time', 'out']","[['time', '1'], ['out', '2']]"
TIMEPIECE,2,"['time', 'piece']","[['time', '1'], ['piece', '2']]"
TIMER,2,"['tim', 'er']","[['tim', '1'], ['er', '0']]"
TIMES,1,['times'],"[['times', '1']]"
TIMESHARE,2,"['time', 'share']","[['time', '1'], ['share', '2']]"
TIMETABLE,3,"['time', 'ta', 'ble']","[['time', '1'], ['ta', '2'], ['ble', '0']]"
TIMID,2,"['tim', 'id']","[['tim', '1'], ['id', '0']]"
TIMIDITY,4,"['ti', 'mid', 'i', 'ty']","[['ti', '0'], ['mid', '1'], ['i', '0'], ['ty', '0']]"
TIMIDLY,3,"['tim', 'id', 'ly']","[['tim', '1'], ['id', '0'], ['ly', '0']]"
TIMING,2,"['tim', 'ing']","[['tim', '1'], ['ing', '0']]"
TIMME,1,['timme'],"[['timme', '1']]"
TIMMER,2,"['tim', 'mer']","[['tim', '1'], ['mer', '0']]"
TIMON,2,"['Ti', 'mon']","[['Ti', '1'], ['mon', '0']]"
TIMOR,2,"['Ti', 'mor']","[['Ti', '0'], ['mor', '1']]"
TIMOROUS,3,"['tim', 'or', 'ous']","[['tim', '1'], ['or', '0'], ['ous', '0']]"
TIMOTHY,3,"['Tim', 'o', 'thy']","[['Tim', '1'], ['o', '0'], ['thy', '0']]"
TIMPANI,3,"['tim', 'pa', 'ni']","[['tim', '1'], ['pa', '0'], ['ni', '2']]"
TIMS,1,['tims'],"[['tims', '1']]"
TIN,1,['tin'],"[['tin', '1']]"
TINCTURE,2,"['tinc', 'ture']","[['tinc', '1'], ['ture', '0']]"
TINDAL,2,"['Tin', 'dal']","[['Tin', '1'], ['dal', '0']]"
TINDER,2,"['tin', 'der']","[['tin', '1'], ['der', '0']]"
TINDERBOX,3,"['tin', 'der', 'box']","[['tin', '1'], ['der', '0'], ['box', '2']]"
TINE,1,['tine'],"[['tine', '1']]"
TINES,1,['tines'],"[['tines', '1']]"
TING,1,['ting'],"[['ting', '1']]"
TINGE,1,['tinge'],"[['tinge', '1']]"
TINGED,1,['tinged'],"[['tinged', '1']]"
TINGLE,2,"['tin', 'gle']","[['tin', '1'], ['gle', '0']]"
TINIER,3,"['ti', 'ni', 'er']","[['ti', '1'], ['ni', '0'], ['er', '0']]"
TINIEST,3,"['ti', 'ni', 'est']","[['ti', '1'], ['ni', '0'], ['est', '0']]"
TINKER,2,"['tin', 'ker']","[['tin', '1'], ['ker', '0']]"
TINKERER,3,"['tin', 'ker', 'er']","[['tin', '1'], ['ker', '0'], ['er', '0']]"
TINKERING,3,"['tink', 'er', 'ing']","[['tink', '1'], ['er', '0'], ['ing', '0']]"
TINKLE,2,"['tin', 'kle']","[['tin', '1'], ['kle', '0']]"
TINKLED,2,"['tin', 'kled']","[['tin', '1'], ['kled', '0']]"
TINMAN,2,"['tin', 'man']","[['tin', '1'], ['man', '2']]"
TINNY,2,"['tin', 'ny']","[['tin', '1'], ['ny', '0']]"
TINS,1,['tins'],"[['tins', '1']]"
TINSEL,2,"['tin', 'sel']","[['tin', '1'], ['sel', '0']]"
TINT,1,['tint'],"[['tint', '1']]"
TINTO,2,"['tin', 'to']","[['tin', '1'], ['to', '0']]"
TINTS,1,['tints'],"[['tints', '1']]"
TINTYPE,2,"['tin', 'type']","[['tin', '1'], ['type', '2']]"
TINY,2,"['ti', 'ny']","[['ti', '1'], ['ny', '0']]"
TIP,1,['tip'],"[['tip', '1']]"
TIPOFF,2,"['tip', 'off']","[['tip', '1'], ['off', '2']]"
TIPP,1,['tipp'],"[['tipp', '1']]"
TIPPED,1,['tipped'],"[['tipped', '1']]"
TIPPER,2,"['tip', 'per']","[['tip', '1'], ['per', '0']]"
TIPPET,2,"['tip', 'pet']","[['tip', '1'], ['pet', '0']]"
TIPPING,2,"['tip', 'ping']","[['tip', '1'], ['ping', '0']]"
TIPPLE,2,"['tip', 'ple']","[['tip', '1'], ['ple', '0']]"
TIPPY,2,"['tip', 'py']","[['tip', '1'], ['py', '0']]"
TIPS,1,['tips'],"[['tips', '1']]"
TIPSTER,2,"['tip', 'ster']","[['tip', '1'], ['ster', '0']]"
TIPSY,2,"['tip', 'sy']","[['tip', '1'], ['sy', '0']]"
TIPTOE,2,"['tip', 'toe']","[['tip', '1'], ['toe', '2']]"
TIPTOED,2,"['tip', 'toed']","[['tip', '1'], ['toed', '2']]"
TIPTOEING,3,"['tip', 'toe', 'ing']","[['tip', '1'], ['toe', '2'], ['ing', '0']]"
TIRADE,2,"['ti', 'rade']","[['ti', '0'], ['rade', '1']]"
TIRANA,3,"['Ti', 'ra', 'na']","[['Ti', '1'], ['ra', '0'], ['na', '0']]"
TIRELESSLY,3,"['tire', 'less', 'ly']","[['tire', '1'], ['less', '0'], ['ly', '0']]"
TIRING,2,"['tir', 'ing']","[['tir', '1'], ['ing', '0']]"
TIROS,2,"['ti', 'ros']","[['ti', '1'], ['ros', '0']]"
TIS,1,['tis'],"[['tis', '1']]"
TISSUE,2,"['tis', 'sue']","[['tis', '1'], ['sue', '2']]"
TISSUES,2,"['tis', 'sues']","[['tis', '1'], ['sues', '2']]"
TIT,1,['tit'],"[['tit', '1']]"
TITAN,2,"['Ti', 'tan']","[['Ti', '1'], ['tan', '0']]"
TITANATE,3,"['ti', 'tan', 'ate']","[['ti', '1'], ['tan', '0'], ['ate', '2']]"
TITANIC,3,"['ti', 'tan', 'ic']","[['ti', '0'], ['tan', '1'], ['ic', '0']]"
TITANIUM,4,"['ti', 'ta', 'ni', 'um']","[['ti', '0'], ['ta', '1'], ['ni', '0'], ['um', '0']]"
TITHE,1,['tithe'],"[['tithe', '1']]"
TITHING,2,"['tith', 'ing']","[['tith', '1'], ['ing', '0']]"
TITIAN,2,"['Ti', 'tian']","[['Ti', '1'], ['tian', '0']]"
TITILLATE,3,"['tit', 'il', 'late']","[['tit', '1'], ['il', '0'], ['late', '2']]"
TITILLATED,4,"['tit', 'il', 'lat', 'ed']","[['tit', '1'], ['il', '0'], ['lat', '2'], ['ed', '0']]"
TITILLATING,4,"['tit', 'il', 'lat', 'ing']","[['tit', '1'], ['il', '0'], ['lat', '2'], ['ing', '0']]"
TITILLATION,4,"['tit', 'il', 'la', 'tion']","[['tit', '2'], ['il', '0'], ['la', '1'], ['tion', '0']]"
TITLE,2,"['ti', 'tle']","[['ti', '1'], ['tle', '0']]"
TITLED,2,"['ti', 'tled']","[['ti', '1'], ['tled', '0']]"
TITLEHOLDER,4,"['ti', 'tle', 'hold', 'er']","[['ti', '1'], ['tle', '0'], ['hold', '2'], ['er', '0']]"
TITMAN,2,"['tit', 'man']","[['tit', '1'], ['man', '0']]"
TITO,2,"['Ti', 'to']","[['Ti', '1'], ['to', '0']]"
TITTER,2,"['tit', 'ter']","[['tit', '1'], ['ter', '0']]"
TITTLE,2,"['tit', 'tle']","[['tit', '1'], ['tle', '0']]"
TITULAR,3,"['tit', 'u', 'lar']","[['tit', '1'], ['u', '0'], ['lar', '0']]"
TITUS,2,"['Ti', 'tus']","[['Ti', '1'], ['tus', '0']]"
TIVOLI,3,"['Tiv', 'o', 'li']","[['Tiv', '1'], ['o', '0'], ['li', '0']]"
TIZZY,2,"['tiz', 'zy']","[['tiz', '1'], ['zy', '0']]"
TLINGIT,2,"['Tlin', 'git']","[['Tlin', '1'], ['git', '0']]"
TO,1,['to'],"[['to', '1']]"
TOAD,1,['toad'],"[['toad', '1']]"
TOADS,1,['toads'],"[['toads', '1']]"
TOAST,1,['toast'],"[['toast', '1']]"
TOASTER,2,"['toast', 'er']","[['toast', '1'], ['er', '0']]"
TOASTING,2,"['toast', 'ing']","[['toast', '1'], ['ing', '0']]"
TOASTMASTER,3,"['toast', 'mas', 'ter']","[['toast', '1'], ['mas', '2'], ['ter', '0']]"
TOASTS,1,['toasts'],"[['toasts', '1']]"
TOBACCO,3,"['to', 'bac', 'co']","[['to', '0'], ['bac', '1'], ['co', '2']]"
TOBACCOS,3,"['to', 'bac', 'cos']","[['to', '0'], ['bac', '1'], ['cos', '2']]"
TOBAGO,3,"['To', 'ba', 'go']","[['To', '0'], ['ba', '1'], ['go', '0']]"
TOBEY,2,"['To', 'bey']","[['To', '1'], ['bey', '0']]"
TOBIAS,3,"['To', 'bi', 'as']","[['To', '0'], ['bi', '1'], ['as', '0']]"
TOBIE,2,"['to', 'bie']","[['to', '1'], ['bie', '0']]"
TOBOGGAN,3,"['to', 'bog', 'gan']","[['to', '0'], ['bog', '1'], ['gan', '0']]"
TOBY,2,"['To', 'by']","[['To', '1'], ['by', '0']]"
TOCK,1,['tock'],"[['tock', '1']]"
TOCQUEVILLE,2,"['Tocque', 'ville']","[['Tocque', '1'], ['ville', '0']]"
TOD,1,['tod'],"[['tod', '1']]"
TODAY,2,"['to', 'day']","[['to', '0'], ['day', '1']]"
TODAYS,2,"['to', 'days']","[['to', '0'], ['days', '1']]"
TODD,1,['Todd'],"[['Todd', '1']]"
TODDLE,2,"['tod', 'dle']","[['tod', '1'], ['dle', '0']]"
TODDLER,2,"['tod', 'dler']","[['tod', '1'], ['dler', '0']]"
TODDLING,2,"['tod', 'dling']","[['tod', '1'], ['dling', '0']]"
TODT,1,['todt'],"[['todt', '1']]"
TOE,1,['toe'],"[['toe', '1']]"
TOED,1,['toed'],"[['toed', '1']]"
TOEHOLD,2,"['toe', 'hold']","[['toe', '1'], ['hold', '2']]"
TOEING,2,"['toe', 'ing']","[['toe', '1'], ['ing', '0']]"
TOENAIL,2,"['toe', 'nail']","[['toe', '1'], ['nail', '2']]"
TOES,1,['toes'],"[['toes', '1']]"
TOFFEE,2,"['tof', 'fee']","[['tof', '1'], ['fee', '0']]"
TOFT,1,['toft'],"[['toft', '1']]"
TOFU,2,"['to', 'fu']","[['to', '1'], ['fu', '0']]"
TOGA,2,"['to', 'ga']","[['to', '1'], ['ga', '0']]"
TOGETHER,3,"['to', 'geth', 'er']","[['to', '0'], ['geth', '1'], ['er', '0']]"
TOGETHERNESS,4,"['to', 'geth', 'er', 'ness']","[['to', '0'], ['geth', '1'], ['er', '0'], ['ness', '0']]"
TOGGLE,2,"['tog', 'gle']","[['tog', '1'], ['gle', '0']]"
TOGGLED,2,"['tog', 'gled']","[['tog', '1'], ['gled', '0']]"
TOGGLING,2,"['tog', 'gling']","[['tog', '1'], ['gling', '0']]"
TOGO,2,"['To', 'go']","[['To', '1'], ['go', '0']]"
TOGS,1,['togs'],"[['togs', '1']]"
TOIL,1,['toil'],"[['toil', '1']]"
TOILED,1,['toiled'],"[['toiled', '1']]"
TOILET,2,"['toi', 'let']","[['toi', '1'], ['let', '0']]"
TOILETRIES,3,"['toi', 'let', 'ries']","[['toi', '1'], ['let', '0'], ['ries', '0']]"
TOILETRY,3,"['toi', 'let', 'ry']","[['toi', '1'], ['let', '0'], ['ry', '0']]"
TOILS,1,['toils'],"[['toils', '1']]"
TOKEN,2,"['to', 'ken']","[['to', '1'], ['ken', '0']]"
TOKIO,3,"['To', 'ki', 'o']","[['To', '0'], ['ki', '1'], ['o', '0']]"
TOKYO,3,"['To', 'ky', 'o']","[['To', '1'], ['ky', '0'], ['o', '2']]"
TOLAN,2,"['to', 'lan']","[['to', '1'], ['lan', '0']]"
TOLD,1,['told'],"[['told', '1']]"
TOLE,1,['tole'],"[['tole', '1']]"
TOLEDO,3,"['To', 'le', 'do']","[['To', '0'], ['le', '1'], ['do', '0']]"
TOLERABLE,4,"['tol', 'er', 'a', 'ble']","[['tol', '1'], ['er', '0'], ['a', '0'], ['ble', '0']]"
TOLERANCE,3,"['tol', 'er', 'ance']","[['tol', '1'], ['er', '0'], ['ance', '0']]"
TOLERANT,3,"['tol', 'er', 'ant']","[['tol', '1'], ['er', '0'], ['ant', '0']]"
TOLERATE,3,"['tol', 'er', 'ate']","[['tol', '1'], ['er', '0'], ['ate', '2']]"
TOLERATED,4,"['tol', 'er', 'at', 'ed']","[['tol', '1'], ['er', '0'], ['at', '2'], ['ed', '0']]"
TOLERATING,4,"['tol', 'er', 'at', 'ing']","[['tol', '1'], ['er', '0'], ['at', '2'], ['ing', '0']]"
TOLERATION,4,"['tol', 'er', 'a', 'tion']","[['tol', '2'], ['er', '0'], ['a', '1'], ['tion', '0']]"
TOLES,1,['toles'],"[['toles', '1']]"
TOLL,1,['toll'],"[['toll', '1']]"
TOLLBOOTH,2,"['toll', 'booth']","[['toll', '1'], ['booth', '2']]"
TOLLED,1,['tolled'],"[['tolled', '1']]"
TOLLER,2,"['Tol', 'ler']","[['Tol', '1'], ['ler', '0']]"
TOLLS,1,['tolls'],"[['tolls', '1']]"
TOLLY,2,"['tol', 'ly']","[['tol', '1'], ['ly', '0']]"
TOLSTOY,2,"['Tol', 'stoy']","[['Tol', '1'], ['stoy', '2']]"
TOM,1,['Tom'],"[['Tom', '1']]"
TOMAHAWK,3,"['tom', 'a', 'hawk']","[['tom', '1'], ['a', '0'], ['hawk', '2']]"
TOMAN,2,"['to', 'man']","[['to', '1'], ['man', '0']]"
TOMATO,3,"['to', 'ma', 'to']","[['to', '0'], ['ma', '1'], ['to', '2']]"
TOMATOES,3,"['to', 'ma', 'toes']","[['to', '0'], ['ma', '1'], ['toes', '0']]"
TOMB,1,['tomb'],"[['tomb', '1']]"
TOMBLIKE,2,"['tomb', 'like']","[['tomb', '1'], ['like', '2']]"
TOMBOY,2,"['tom', 'boy']","[['tom', '1'], ['boy', '2']]"
TOMBS,1,['tombs'],"[['tombs', '1']]"
TOMBSTONE,2,"['tomb', 'stone']","[['tomb', '1'], ['stone', '2']]"
TOMCAT,2,"['tom', 'cat']","[['tom', '1'], ['cat', '2']]"
TOME,1,['tome'],"[['tome', '1']]"
TOMES,1,['tomes'],"[['tomes', '1']]"
TOMLINSON,3,"['Tom', 'lin', 'son']","[['Tom', '1'], ['lin', '0'], ['son', '0']]"
TOMMIE,2,"['Tom', 'mie']","[['Tom', '1'], ['mie', '0']]"
TOMMY,2,"['Tom', 'my']","[['Tom', '1'], ['my', '0']]"
TOMORROW,3,"['to', 'mor', 'row']","[['to', '0'], ['mor', '1'], ['row', '2']]"
TOMS,1,['toms'],"[['toms', '1']]"
TON,1,['ton'],"[['ton', '1']]"
TONAL,2,"['ton', 'al']","[['ton', '1'], ['al', '0']]"
TONALITIES,4,"['to', 'nal', 'i', 'ties']","[['to', '0'], ['nal', '1'], ['i', '0'], ['ties', '0']]"
TONALITY,4,"['to', 'nal', 'i', 'ty']","[['to', '0'], ['nal', '1'], ['i', '0'], ['ty', '0']]"
TONE,1,['tone'],"[['tone', '1']]"
TONED,1,['toned'],"[['toned', '1']]"
TONER,2,"['ton', 'er']","[['ton', '1'], ['er', '0']]"
TONES,1,['tones'],"[['tones', '1']]"
TONG,1,['tong'],"[['tong', '1']]"
TONGE,1,['Tonge'],"[['Tonge', '1']]"
TONGS,1,['tongs'],"[['tongs', '1']]"
TONGUE,1,['tongue'],"[['tongue', '1']]"
TONGUED,1,['tongued'],"[['tongued', '1']]"
TONGUES,1,['tongues'],"[['tongues', '1']]"
TONIC,2,"['ton', 'ic']","[['ton', '1'], ['ic', '0']]"
TONIGHT,2,"['to', 'night']","[['to', '0'], ['night', '1']]"
TONING,2,"['ton', 'ing']","[['ton', '1'], ['ing', '0']]"
TONITE,2,"['ton', 'ite']","[['ton', '0'], ['ite', '1']]"
TONK,1,['tonk'],"[['tonk', '1']]"
TONN,1,['tonn'],"[['tonn', '1']]"
TONNAGE,2,"['ton', 'nage']","[['ton', '1'], ['nage', '0']]"
TONNE,1,['tonne'],"[['tonne', '1']]"
TONNER,2,"['ton', 'ner']","[['ton', '1'], ['ner', '0']]"
TONNES,1,['tonnes'],"[['tonnes', '1']]"
TONS,1,['tons'],"[['tons', '1']]"
TONSIL,2,"['ton', 'sil']","[['ton', '2'], ['sil', '0']]"
TONSILLECTOMIES,5,"['ton', 'sil', 'lec', 'to', 'mies']","[['ton', '2'], ['sil', '0'], ['lec', '1'], ['to', '0'], ['mies', '0']]"
TONSILLECTOMY,5,"['ton', 'sil', 'lec', 'to', 'my']","[['ton', '2'], ['sil', '0'], ['lec', '1'], ['to', '0'], ['my', '0']]"
TONY,2,"['ton', 'y']","[['ton', '1'], ['y', '0']]"
TOO,1,['too'],"[['too', '1']]"
TOOK,1,['took'],"[['took', '1']]"
TOOKE,1,['Tooke'],"[['Tooke', '1']]"
TOOL,1,['tool'],"[['tool', '1']]"
TOOLBOX,2,"['tool', 'box']","[['tool', '1'], ['box', '2']]"
TOOLED,1,['tooled'],"[['tooled', '1']]"
TOOLING,2,"['tool', 'ing']","[['tool', '1'], ['ing', '0']]"
TOOLMAKER,3,"['tool', 'mak', 'er']","[['tool', '1'], ['mak', '2'], ['er', '0']]"
TOOLS,1,['tools'],"[['tools', '1']]"
TOOMBS,1,['toombs'],"[['toombs', '1']]"
TOON,1,['toon'],"[['toon', '1']]"
TOOT,1,['toot'],"[['toot', '1']]"
TOOTH,1,['tooth'],"[['tooth', '1']]"
TOOTHBRUSH,2,"['tooth', 'brush']","[['tooth', '1'], ['brush', '0']]"
TOOTHBRUSHES,3,"['tooth', 'brush', 'es']","[['tooth', '1'], ['brush', '2'], ['es', '0']]"
TOOTHED,1,['toothed'],"[['toothed', '1']]"
TOOTHLESS,2,"['tooth', 'less']","[['tooth', '1'], ['less', '0']]"
TOOTHLIKE,2,"['tooth', 'like']","[['tooth', '1'], ['like', '2']]"
TOOTHPASTE,2,"['tooth', 'paste']","[['tooth', '1'], ['paste', '2']]"
TOOTHPICK,2,"['tooth', 'pick']","[['tooth', '1'], ['pick', '2']]"
TOOTHY,2,"['tooth', 'y']","[['tooth', '1'], ['y', '0']]"
TOOTLE,2,"['too', 'tle']","[['too', '1'], ['tle', '0']]"
TOOTS,1,['toots'],"[['toots', '1']]"
TOOTSIE,2,"['toot', 'sie']","[['toot', '1'], ['sie', '1']]"
TOP,1,['top'],"[['top', '1']]"
TOPAZ,2,"['to', 'paz']","[['to', '1'], ['paz', '2']]"
TOPE,1,['tope'],"[['tope', '1']]"
TOPEKA,3,"['To', 'pe', 'ka']","[['To', '0'], ['pe', '1'], ['ka', '0']]"
TOPIARY,4,"['to', 'pi', 'ar', 'y']","[['to', '1'], ['pi', '0'], ['ar', '2'], ['y', '0']]"
TOPIC,2,"['top', 'ic']","[['top', '1'], ['ic', '0']]"
TOPICAL,3,"['top', 'i', 'cal']","[['top', '1'], ['i', '0'], ['cal', '0']]"
TOPKNOT,2,"['top', 'knot']","[['top', '1'], ['knot', '2']]"
TOPLESS,2,"['top', 'less']","[['top', '1'], ['less', '0']]"
TOPOGRAPHIC,4,"['top', 'o', 'graph', 'ic']","[['top', '2'], ['o', '0'], ['graph', '1'], ['ic', '0']]"
TOPOGRAPHY,4,"['to', 'pog', 'ra', 'phy']","[['to', '0'], ['pog', '1'], ['ra', '0'], ['phy', '0']]"
TOPP,1,['topp'],"[['topp', '1']]"
TOPPED,1,['topped'],"[['topped', '1']]"
TOPPER,2,"['top', 'per']","[['top', '1'], ['per', '0']]"
TOPPING,2,"['top', 'ping']","[['top', '1'], ['ping', '0']]"
TOPPLE,2,"['top', 'ple']","[['top', '1'], ['ple', '0']]"
TOPPLED,2,"['top', 'pled']","[['top', '1'], ['pled', '0']]"
TOPPLES,2,"['top', 'ples']","[['top', '1'], ['ples', '0']]"
TOPS,1,['tops'],"[['tops', '1']]"
TOPSOIL,2,"['top', 'soil']","[['top', '1'], ['soil', '2']]"
TOPSY-TURVY,4,"['top', 'sy', 'tur', 'vy']","[['top', '1'], ['sy', '0'], ['tur', '1'], ['vy', '0']]"
TOR,1,['tor'],"[['tor', '1']]"
TORAH,2,"['To', 'rah']","[['To', '1'], ['rah', '0']]"
TORAN,2,"['to', 'ran']","[['to', '0'], ['ran', '1']]"
TORCH,1,['torch'],"[['torch', '1']]"
TORCHED,1,['torched'],"[['torched', '1']]"
TORCHING,2,"['torch', 'ing']","[['torch', '1'], ['ing', '0']]"
TORE,1,['tore'],"[['tore', '1']]"
TORI,2,"['to', 'ri']","[['to', '1'], ['ri', '0']]"
TORIES,2,"['To', 'ries']","[['To', '1'], ['ries', '0']]"
TORINO,3,"['To', 'ri', 'no']","[['To', '0'], ['ri', '1'], ['no', '0']]"
TORME,1,['torme'],"[['torme', '1']]"
TORMENT,2,"['tor', 'ment']","[['tor', '1'], ['ment', '2']]"
TORMENTING,3,"['tor', 'ment', 'ing']","[['tor', '1'], ['ment', '2'], ['ing', '0']]"
TORMENTOR,3,"['tor', 'men', 'tor']","[['tor', '1'], ['men', '2'], ['tor', '0']]"
TORN,1,['torn'],"[['torn', '1']]"
TORNADIC,3,"['tor', 'nad', 'ic']","[['tor', '0'], ['nad', '1'], ['ic', '0']]"
TORNADO,3,"['tor', 'na', 'do']","[['tor', '0'], ['na', '1'], ['do', '2']]"
TORNADOES,3,"['tor', 'na', 'does']","[['tor', '0'], ['na', '1'], ['does', '0']]"
TORNADOS,3,"['tor', 'na', 'dos']","[['tor', '0'], ['na', '1'], ['dos', '2']]"
TORO,2,"['to', 'ro']","[['to', '1'], ['ro', '0']]"
TORONTO,3,"['To', 'ron', 'to']","[['To', '0'], ['ron', '1'], ['to', '0']]"
TORP,1,['torp'],"[['torp', '1']]"
